source,attribute,s_artist,target,t_artist,value,s_tags,t_tags
TRAAAAK128F9318786,song,Adelitas Way,TRZNRZF128F9318787,Adelitas Way,1.0,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['rock', '40'], ['adelitas way', '40'], ['sex', '20'], ['sex songs', '20'], ['aggressive rock', '20'], ['dirty little thing', '20'], ['heaths favs', '20']]"
TRAAAAK128F9318786,song,Adelitas Way,TRRJFIC128F931879D,Adelitas Way,0.966398,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['adelitas way', '100'], ['alternative rock', '54'], ['post-grunge', '27'], ['Discoverockult', '18'], ['Driving Songs', '18'], ['epic xD', '9'], ['5', '9'], ['bob', '9'], ['great song', '9'], ['00s', '9'], ['add', '9'], ['Tag', '9'], ['modern rock', '9'], ['hard rock', '9'], ['Love', '9'], ['rock', '9'], ['nice', '9'], ['lj', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,Adelitas Way,,1.0,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]",
Adelitas Way,artist,,TRAAAAK128F9318786,Adelitas Way,1.0,,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]"
TRZNRZF128F9318787,song,Adelitas Way,Adelitas Way,,1.0,"[['alternative rock', '100'], ['rock', '40'], ['adelitas way', '40'], ['sex', '20'], ['sex songs', '20'], ['aggressive rock', '20'], ['dirty little thing', '20'], ['heaths favs', '20']]",
Adelitas Way,artist,,TRZNRZF128F9318787,Adelitas Way,1.0,,"[['alternative rock', '100'], ['rock', '40'], ['adelitas way', '40'], ['sex', '20'], ['sex songs', '20'], ['aggressive rock', '20'], ['dirty little thing', '20'], ['heaths favs', '20']]"
TRRJFIC128F931879D,song,Adelitas Way,Adelitas Way,,1.0,"[['adelitas way', '100'], ['alternative rock', '54'], ['post-grunge', '27'], ['Discoverockult', '18'], ['Driving Songs', '18'], ['epic xD', '9'], ['5', '9'], ['bob', '9'], ['great song', '9'], ['00s', '9'], ['add', '9'], ['Tag', '9'], ['modern rock', '9'], ['hard rock', '9'], ['Love', '9'], ['rock', '9'], ['nice', '9'], ['lj', '0']]",
Adelitas Way,artist,,TRRJFIC128F931879D,Adelitas Way,1.0,,"[['adelitas way', '100'], ['alternative rock', '54'], ['post-grunge', '27'], ['Discoverockult', '18'], ['Driving Songs', '18'], ['epic xD', '9'], ['5', '9'], ['bob', '9'], ['great song', '9'], ['00s', '9'], ['add', '9'], ['Tag', '9'], ['modern rock', '9'], ['hard rock', '9'], ['Love', '9'], ['rock', '9'], ['nice', '9'], ['lj', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRQYGQT128F9318777,Sick Puppies,0.157267,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '87'], ['alternative', '50'], ['nice', '25'], ['00s', '25'], ['positive', '12'], ['favs', '12'], ['5', '12'], ['Discoverockult', '12'], ['driller', '12'], ['The Madeleine Haze', '12']]"
TRAAAAK128F9318786,song,Adelitas Way,TROLOPS128F426E353,Saving Abel,0.11712,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['hard rock', '85'], ['alternative', '85'], ['alternative rock', '85'], ['Post Grunge', '42'], ['Saving Abel', '28'], ['modern rock', '14'], ['Godlike', '14'], ['interesting', '14'], ['genial', '14'], ['Not Half Bad', '14'], ['newrocktrackradio:-9', '14'], ['Tag', '0'], ['lift', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRQNBAM128F9336E65,Jet Black Stare,0.107759,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['hard rock', '100'], ['alternative rock', '50'], ['good shit', '50'], ['bookmarked', '50'], ['Discoverockult', '50']]"
TRAAAAK128F9318786,song,Adelitas Way,TRILDOA128F426E75F,Saving Abel,0.106884,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['rock', '90'], ['hard rock', '54'], ['Saving Abel', '45'], ['alternative', '27'], ['Grunge', '18'], ['post-grunge', '18'], ['USA', '18'], ['good beat', '18'], ['SAVING abel RUNNING', '9'], ['zuvin', '9'], ['vocal rock', '9'], ['2008', '9'], ['me likey', '9'], ['favs', '9'], ['american', '9'], ['good', '9'], ['Tag', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRVFCII128F92F6E7E,Revis,0.0915493,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '48'], ['alternative', '32'], ['hard rock', '28'], ['Love', '24'], ['Grunge', '16'], ['post-grunge', '16'], ['REVIS', '12'], ['Favorite', '12'], ['male vocalist', '8'], ['You and Me', '8'], ['Discoverockult', '8'], ['epic', '8'], ['friends', '8'], ['Energetic', '8'], ['Illinois', '8'], ['awesome voice', '8'], ['rain', '8'], ['Soundtrack', '8'], ['daredevil', '8'], ['Need to own', '8'], ['indie', '8'], ['In My CAR', '4'], ['12th grade', '4'], ['fighting back', '4'], ['bands to check out', '4'], ['serious rock', '4'], ['Classic Songs', '4'], ['Personal Playlist', '4'], ['ROCK alternative metal', '4'], ['souvenirs', '4'], ['qko', '4'], ['cds', '4'], ['Stay With Me', '4'], ['the best eclectic tag ever - period - jan-06 top-30s', '4'], ['Not A band song I do like', '4'], ['gh2choice', '4'], ['seen live and it really did rain as soon as they started the song', '4'], ['-5', '4'], ['revis -black lab', '4'], ['beatfull', '4'], ['daredevil ost', '4'], ['thablackphoenix', '4'], ['weird but i love it', '4'], ['Missing Him', '4'], ['favorite song 2007', '4'], ['LordLex92s', '4'], ['skini', '4'], ['irada', '4'], ['rokimpaa', '4'], ['spacerowka', '4'], ['poepruig enzo', '4'], ['damn great song', '4'], ['can listen to over and over', '4'], ['shout out', '4'], ['anytime', '4'], ['Fall Out Boy', '4'], ['Coldplay', '4'], ['horror', '4'], ['sweet', '4'], ['female vocalists', '4'], ['Favourite Songs', '4'], ['american', '4'], ['punk rock', '4'], ['fun', '4'], ['indie rock', '4'], ['Hip-Hop', '4'], ['piano', '4'], ['pop', '4'], ['sexy', '4'], ['favourite', '4'], ['chillout', '4'], ['heavy', '4'], ['Mellow', '4'], ['CD', '4'], ['rainy days', '4'], ['rock ballad', '4'], ['Beautiful quiet', '4'], ['nickelback', '4'], ['Loved Songs', '4'], ['sing a long', '4'], ['Latin Dance', '4'], ['superhero', '4'], ['songs', '4'], ['<3', '4'], ['maroon 5', '4'], ['High School', '4'], ['energy', '4'], ['happiness', '4'], ['2003', '4'], ['heard on Pandora', '0'], ['seen live', '0'], ['Workout', '0'], ['hyrkliot', '0'], ['mvp baseball 2003', '0'], ['aevis', '0'], ['new good', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRUWAVU128F9336E64,Jet Black Stare,0.0892342,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['hard rock', '100'], ['alternative rock', '100'], ['Good Rock', '100'], ['Discoverockult', '50']]"
TRAAAAK128F9318786,song,Adelitas Way,TRCXFJG128F427EDC9,Crossfade,0.0869064,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '96'], ['crossfade', '70'], ['hard rock', '61'], ['post-grunge', '25'], ['alternative', '16'], ['thumper', '16'], ['love them', '16'], ['depressive', '12'], ['Nu Metal', '9'], ['The Deep End', '6'], ['heartrippedopen', '3'], ['jajo', '3'], ['jennz', '3'], ['from hell', '3'], ['Rajja Black', '3'], ['Cojonuda', '3'], ['Broken Angels', '3'], ['sound storm', '3'], ['TBMRadio', '3'], ['q3', '3'], ['kaytee music to hear', '3'], ['You make me cry when I want to', '3'], ['Biken', '3'], ['my fave ever ever', '3'], ['kappe metall', '3'], ['hayleydiamond', '3'], ['need growl', '3'], ['for: js-alternative', '3'], ['wmaltfaves', '3'], ['verging on insanity', '3'], ['kappe indi', '3'], ['wmlovedtracks', '3'], ['rated 5', '3'], ['kappe silence', '3'], ['yao gun yin yue', '3'], ['Hinder etc', '3'], ['LordLex92s', '3'], ['irada', '3'], ['Sound good', '3'], ['bali-rock', '3'], ['ROCK-us', '3'], ['the best', '3'], ['best song', '3'], ['00s', '3'], ['superb', '3'], ['Post Grunge', '3'], ['Wicked', '3'], ['driving fast', '3'], ['deep', '3'], ['NU', '3'], ['my music', '3'], ['favorite songs', '3'], ['rockin', '3'], ['Nu-metal', '3'], ['favourite', '3'], ['not bad', '3'], ['heavy', '3'], ['metal', '3'], ['LB', '3'], ['nicht schlecht', '3'], ['rolig', '3'], ['favourite track', '3'], ['I love this song', '3'], ['nickelback', '3'], ['SC', '3'], ['end', '3'], ['lazy', '3'], ['Great Shit', '3'], ['Workout', '3'], ['The', '3'], ['stuff I like', '0'], ['Crossfade - The Deep End', '0'], ['Like KORN', '0'], ['t d end', '0'], ['3-star', '0'], ['kiss', '0'], ['bike songs', '0'], ['Listen to this again', '0'], ['good', '0'], ['brain2brain', '0'], ['alternative metal', '0'], ['The deep end -crossfade', '0'], ['alright', '0'], ['crossfade Deep end', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRGYGWR128F9338FCB,Hinder,0.0824838,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['hard rock', '72'], ['alternative rock', '72'], ['hinder', '54'], ['post-grunge', '36'], ['alternative', '18'], ['sex', '18'], ['party', '9'], ['favorites', '9'], ['modern metal', '9'], ['favorite songs', '9'], ['00s', '9'], ['Great Lyricists', '9'], ['luv this song', '9']]"
TRAAAAK128F9318786,song,Adelitas Way,TRZYCVZ12903D02A51,Hinder,0.0815291,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '56'], ['hinder', '36'], ['hard rock', '35'], ['alternative', '28'], ['post-grunge', '13'], ['favorites', '10'], ['sex', '8'], ['Grunge', '8'], ['metal', '8'], ['american', '6'], ['stoner', '5'], ['stoned', '5'], ['modern rock', '5'], ['New rock', '5'], ['kaylies songs', '5'], ['Heshihobo', '5'], ['USA', '5'], ['fav', '3'], ['american alternative', '3'], ['angst', '3'], ['iLove it', '3'], ['I like', '3'], ['adrenaline', '3'], ['itunes free download', '3'], ['Post Grunge', '3'], ['angry', '3'], ['pop', '3'], ['drugs sex rock', '3'], ['mmm sexy', '3'], ['best hinder', '3'], ['pop rock', '3'], ['slow', '3'], ['alt rock', '1'], ['best band that only i like', '1'], ['All The Number Ones', '1'], ['Officially Shit', '1'], ['all things annoying in the world put together into one stupid bitch', '1'], ['teen rock', '1'], ['good track radio', '1'], ['Amazing Artists', '1'], ['newer stuff i like', '1'], [""can't sing"", '1'], ['when feeling angry', '1'], ['pot', '1'], ['Angryish', '1'], ['shalalala', '1'], ['get laid', '1'], ['sounds like a strangled cat', '1'], ['Hah me and mikis song lmao', '1'], ['Songs to describe your relationship', '1'], ['hollow inanimate', '1'], ['radioultra', '1'], ['getstoned', '1'], ['universal soundtrack', '1'], ['triathlon', '1'], ['Diesunddas:-9', '1'], ['Sex Drugs n Rock N Roll all in one', '1'], ['one star', '1'], ['crunk metal', '1'], ['nice', '1'], ['moody', '1'], ['Favourites', '1'], ['Favorite', '1'], ['rock out', '1'], ['hardcore', '1'], ['favorite songs', '1'], ['Love', '1'], ['Radio Rock', '1'], ['heartbreak', '1'], ['rock n roll', '1'], ['Southern Rock', '1'], ['hilarious', '1'], ['jones', '1'], ['00s', '1'], ['Faves', '1'], ['angsty', '1'], ['giggle-inducing', '1'], ['star', '1'], ['manu', '1'], ['bitch', '1'], ['single', '1'], ['love songs for bad people', '1'], ['great artists', '1'], ['awful', '1'], ['rocknroll', '1'], ['male vocalists', '1'], ['male vocalist', '1'], ['your ears will bleed', '1'], ['popular', '1'], ['just rock', '1'], ['Stoner Rock', '1'], ['cimx-fm', '0'], ['wrif-fm', '0'], ['seen live', '0'], ['newrocktrackradio:-9', '0'], ['awesome track', '0'], ['aggressive', '0'], ['reefermadness63', '0'], ['menacingk', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRANFIJ128F9366F6F,12 Stones,0.0800814,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['hard rock', '100'], ['alternative rock', '78'], ['rock', '64'], ['post-grunge', '64'], ['alternative', '50'], ['christian rock', '7'], ['christian', '7'], ['hot', '7'], ['00s', '7'], ['adrenaline', '7'], ['crossover', '0'], ['Love', '0'], ['fun', '0'], ['Guitar Hero', '0'], ['4-STAR', '0'], ['12stones', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRQMWBS128F9366F7C,12 Stones,0.0793406,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['hard rock', '76'], ['alternative rock', '69'], ['alternative', '61'], ['Mellow', '30'], ['literatec favorites', '23'], ['badass', '23'], ['emo', '15'], ['truths', '15'], ['12 Stones', '15'], ['00s', '15'], ['my fav songs', '15'], ['christian', '15'], ['romantic', '15'], ['modern rock', '15'], ['christian rock', '15'], ['Favourites', '7'], ['sad', '7'], ['Love this song', '7'], ['all time favorites', '7'], ['really good', '7'], ['thinking', '7'], ['5', '7'], ['grungy', '7'], ['songs to sing along with', '7'], ['Awesome', '7'], ['world', '0'], ['post-grunge', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRFXZTZ12903CCC991,Alter Bridge,0.0790557,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['hard rock', '100'], ['rock', '76'], ['alternative rock', '57'], ['metal', '52'], ['Alter Bridge', '36'], ['alternative', '28'], ['wwe', '28'], ['alternative metal', '22'], ['post-grunge', '19'], ['edge', '19'], ['heavy metal', '12'], ['wrestling', '9'], ['00s', '8'], ['Nu Metal', '8'], ['edge wwe', '7'], ['metalingus', '7'], ['powerful', '7'], ['Awesome', '7'], ['best', '7'], ['nice', '7'], ['Best fucking songs ever', '5'], ['amazing', '5'], ['Favourite Songs', '5'], ['Grunge', '5'], ['metalcore', '4'], ['favorites', '4'], ['intense', '4'], ['modern rock', '4'], ['Masterpiece', '2'], ['hard rock things', '2'], ['american', '2'], ['Post Grunge', '2'], ['love at first sound', '2'], ['hardrock', '2'], ['brilliant', '2'], ['My Favorites', '2'], ['Soundtrack', '2'], ['wonderful', '2'], ['perfect', '2'], ['WWE Themes', '2'], ['emo', '2'], ['good music', '2'], ['2004', '2'], ['indie', '2'], ['dark rock', '2'], ['best forever and ever to me untill i die', '2'], ['2000s', '2'], ['run', '2'], ['electric guitar', '1'], ['Metal will never die', '1'], ['great riff', '1'], ['male vocalist', '1'], ['video game', '1'], ['Breathtaking', '1'], ['Wrestling Songs', '1'], ['meins', '1'], ['5', '1'], ['power-rock', '1'], ['Postgrunge', '1'], ['awesomeness', '1'], ['Creed', '1'], ['LEETSKEET', '1'], ['01', '1'], ['loved', '1'], ['check out later', '1'], ['entrance', '1'], ['Passion', '1'], ['rock n roll', '1'], ['songs I can drum with', '1'], ['high energy', '1'], ['highway', '1'], ['fucking great', '1'], ['alternrock', '1'], ['male vocals', '1'], ['wrestling themes', '1'], ['love to sing', '1'], ['numetal', '1'], ['new', '1'], ['temazo', '1'], ['alternative hard rock', '1'], ['theme', '1'], ['magic', '1'], ['entrance music', '1'], ['best songs ever', '1'], ['Couple of songs or bands i like', '1'], ['Incredible', '1'], ['wrestling theme', '1'], ['Great Music', '1'], ['glam-rock', '1'], ['great driving music', '1'], ['2000s rock', '1'], ['watta solarpowered radio', '1'], ['predictable', '1'], ['obsess', '1'], ['wwe smackdown vs raw', '1'], ['epic', '1'], ['Gothic', '1'], ['hyper vent', '1'], ['bobble', '1'], ['deep thought rock', '1']]"
TRAAAAK128F9318786,song,Adelitas Way,TRITOSQ128F4255F47,10 Years,0.0681763,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['10 Years', '88'], ['rock', '76'], ['alternative metal', '44'], ['alternative', '38'], ['Love 10 Years and Beautiful', '38'], ['hard rock', '32'], ['aitch', '17'], ['aitchepic', '17'], ['epic', '17'], ['aitchawake', '14'], ['metal', '8'], ['MOONH8SUN', '8'], ['beautiful', '8'], ['10 Years - Beautiful', '5'], ['Awake', '5'], ['aitchsonic', '5'], ['simply beautiful', '5'], ['crunk metal', '5'], ['rock ballad', '5'], ['sonic rock', '5'], ['dark', '5'], ['better than tool', '5'], ['american', '5'], ['Awesome', '5'], ['excellent headbanger', '5'], ['10 years-beautiful', '5'], ['great text', '2'], ['raw shit', '2'], ['songs to sing along with', '2'], ['playitloud', '2'], ['beautifuk', '2'], ['Good tune', '2'], ['Because', '2'], ['division', '2'], ['american crap', '2'], ['SICmuSIC', '2'], ['USAHitz', '2'], ['TaggedByInertia', '2'], ['not tool and never will be', '2'], ['verwirrtesHanuta', '2'], ['beeutiful', '2'], ['thablackphoenix', '2'], ['just fucking lovely', '2'], ['mrvisser-rock', '2'], ['not adam title', '2'], ['10 years beautiful', '2'], ['Plan to buy', '2'], ['aitchknight', '2'], ['Alternative Folk', '2'], ['the best', '2'], ['Masterpiece', '2'], ['00s', '2'], ['Obsession', '2'], ['good shit', '2'], ['Nu Metal', '2'], ['michelle', '2'], ['lyrics', '2'], ['modern metal', '2'], ['rockin', '2'], ['modern rock', '2'], ['Favorite', '2'], ['good', '2'], ['Progressive metal', '2'], ['Love', '2'], ['heavy', '2'], ['Grunge', '2'], ['Da shit', '2'], ['Pieces', '2'], ['Personal Playlist', '2'], ['buy me', '2'], ['angst rock', '2'], ['One of a kind', '2'], ['bad ass', '2'], ['phenominal', '2'], ['my mix', '2'], ['ok', '2'], ['male vocalist', '2'], ['The Greatest EVER', '2'], ['Rainy Day', '2'], ['melodic rock', '2'], ['different', '2'], ['genial', '2'], ['10 yrs', '0'], ['new from last', '0'], ['alisa', '0'], ['wrif-fm', '0'], ['interessant', '0'], ['Discoverockult', '0']]"
TRAAAAK128F9318786,song,Adelitas Way,TRBGMZJ128F42BC17E,Daughtry,0.060202,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '60'], ['daughtry', '46'], ['alternative', '38'], ['American Idol', '15'], ['male vocalists', '10'], ['00s', '7'], ['Chris Daughtry', '6'], ['pop', '6'], ['hard rock', '6'], ['Love', '5'], ['pop rock', '5'], ['Its Not Over', '4'], ['favorites', '4'], ['top 40', '3'], ['post-grunge', '3'], ['Daughtry - Its not over', '2'], ['rock ballad', '2'], ['american', '2'], ['Awesome', '2'], ['addictive', '2'], ['british rock', '2'], ['Good Stuff', '2'], ['Ballad', '2'], ['classic rock', '2'], ['2007', '2'], ['USA', '1'], ['Hits 2007', '1'], ['rocks', '1'], ['favourite', '1'], ['WEXP', '1'], ['male', '1'], ['good bands', '1'], ['alt rock', '1'], ['loved', '1'], ['fav', '0'], ['catchy', '0'], ['fanmix - jibbs', '0'], ['Post Grunge', '0'], ['idol', '0'], ['best forever and ever to me untill i die', '0'], ['lehugeur', '0'], ['Adult Alternative', '0'], ['lammis', '0'], ['favs', '0'], ['alleys music', '0'], ['male vocals', '0'], ['2006', '0'], ['male vocalist', '0'], ['Rock i like', '0'], ['thumper', '0'], ['5', '0'], ['melancholie', '0'], ['hit single', '0'], ['good', '0'], ['cool', '0'], ['Favorite', '0'], ['angry', '0'], ['favorite songs', '0'], ['sad', '0'], ['i really should not like this so much', '0'], ['strogg', '0'], ['deep thoughts', '0'], ['THUMPER LIGHT', '0'], ['bekannt', '0'], ['kermiksen turha tagi', '0'], ['rock classique', '0'], ['indie', '0'], ['easy smile', '0'], ['Canadian', '0'], ['radioultra', '0'], ['universal soundtrack', '0'], ['triathlon', '0'], ['coleiscool', '0'], ['slow heavy', '0'], ['my loved ones :p', '0'], ['Vitamin M', '0'], ['LordLex92s', '0'], ['greatlyrics', '0'], ['oughts', '0'], ['fighting dogs', '0'], ['Daughtry- Its Not Over', '0'], ['piniwi', '0'], ['reconcile', '0'], ['just want to feel', '0'], ['My Radio Station', '0'], ['slow', '0'], ['Massari', '0'], ['todays hits', '0'], ['songs about him', '0'], ['christian rock', '0'], ['Bloody Good', '0'], ['soulfood', '0'], ['talent show', '0'], ['Tell it to my heart', '0'], ['502 pop slows', '0'], ['ami', '0'], ['Soundtrack', '0'], ['i feel like i sold out for listening to this', '0'], ['voices that i love', '0']]"
